0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",4109,1010803,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,239351,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(ii)Other securities,0,209765,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(i) Debt,0,20083,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(ii) Shares,17453,24087,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,1225,21302,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(v) Lease receivables,0,190944,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,882097,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,642,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,0,146913,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,146913,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(A) Insured,0,3221187,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,243809,"Concentra Bank, As At July 31, 2023, (in thousands of dollars), Concentra Bank, As At July 31, 2023, (in thousands of dollars)"
