0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",32488988,139636394,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",346936788,363524204,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8456599,152965977,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
(ii)Other securities,28058676,322563558,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
(i) Debt,1007945142,1088667825,"Total Domestic Banks, As At May 31, 2024, (in thousands of dollars), Total Domestic Banks, As At May 31, 2024, (in thousands of dollars)"
