0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",16514945,18130604,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",33577524,35938566,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1185555,11313380,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
(ii)Other securities,1964508,42210480,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
(i) Debt,230300924,242519180,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
(ii) Shares,46015679,58817729,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,1559089,1972504,"The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2019, (in thousands of dollars)"
