0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4414258,5933209,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",13493087,21742971,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,459166,13922323,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
(ii)Other securities,2460243,37188079,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
(i) Debt,43504542,48070642,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
(ii) Shares,18562396,35111519,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars), Canadian Imperial Bank of Commerce, As At December 31, 2019, (in thousands of dollars)"
