0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15767561,32601369,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",217711507,235972322,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6850009,99601526,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
(ii)Other securities,16418393,175752752,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
(i) Debt,573505440,630721015,"Total Domestic Banks, As At January 31, 2019, (in thousands of dollars), Total Domestic Banks, As At January 31, 2019, (in thousands of dollars)"
