0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",7223,551159,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,0,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,56740,518699,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
(ii)Other securities,12622,1389939,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
(i) Debt,105885,485092,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
(ii) Shares,0,3558,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At June 30, 2021, (in thousands of dollars)"
