0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2547,508170,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",106253,382362,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,1957455,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(ii)Other securities,62,4231073,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(i) Debt,90641,247784,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(ii) Shares,5413,334817,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,294,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(v) Lease receivables,60688,729294,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,3737107,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,0,527278,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,2662143,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,2987769,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,1996964,4916730,"Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars), Laurentian Bank of Canada, As At July 31, 2021, (in thousands of dollars)"
