0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",11528,15159330,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",1120448,1120691,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,216496,5180454,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
(ii)Other securities,1006000,7596401,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
(i) Debt,4069541,4917005,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
(ii) Shares,0,29921,"HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At October 31, 2021, (in thousands of dollars)"
