0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",454,4566,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",17724,77287,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,301037,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(ii)Other securities,26340,264036,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(i) Debt,0,138527,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(ii) Shares,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,49577,49577,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(v) Lease receivables,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,8564,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,1817,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,836258,1470770,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,721836,1127381,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(A) Insured,0,2774003,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(C) Uninsured,0,892249,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
(ii) Non-residential,0,9782,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,8192,"ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars), ICICI Bank Canada, As At January 31, 2021, (in thousands of dollars)"
