0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",274,729,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",5094,70241,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(ii)Other securities,0,18548,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(i) Debt,9419,47632,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(ii) Shares,99,99,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(v) Lease receivables,0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,3150,25325,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,4070,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,3150,20896,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,291993,450112,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,291993,435654,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(A) Insured,0,28894,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
(C) Uninsured,0,172878,"SBI Canada Bank, As At June 30, 2019, (in thousands of dollars), SBI Canada Bank, As At June 30, 2019, (in thousands of dollars)"
