0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",12059,5196324,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",365937,381437,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,110741,10954384,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
(ii)Other securities,935060,8414283,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
(i) Debt,5069864,6160789,"HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At June 30, 2022, (in thousands of dollars)"
