0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",12501,6799561,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",255481,256394,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,201247,12271060,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
(ii)Other securities,812408,6488275,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
(i) Debt,6685859,7149841,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2023, (in thousands of dollars)"
