0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1318,2616,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",23170,486303,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(ii)Other securities,0,38180,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(i) Debt,119774,169721,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(ii) Shares,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,858,858,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(v) Lease receivables,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,11,14728,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,10071,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,4215,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,522328,974941,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,125978,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,232934,557796,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(A) Insured,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(C) Uninsured,0,164415,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
(ii) Non-residential,0,202012,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,8912,"Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At April 30, 2019, (in thousands of dollars)"
