0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",39877,114502,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",708980,709443,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,146015,6190742,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(ii)Other securities,1196786,14504386,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(i) Debt,7593614,8538407,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(ii) Shares,0,13802,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,534214,896012,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",5,81721,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(v) Lease receivables,216669,2207940,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,11395,2857181,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,1390,1681862,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2019, (in thousands of dollars)"
